Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 4 G;0.2492248;0.3663971;1.025781;0;0;0
Cube 1 P;-0.3481753;-0.08560291;1.431381;0;0;0
Cube 2 P;0.3835247;-0.04770291;1.223281;0;270;0
Cube 3 P;-0.06107527;0.1783971;1.195281;0;0;0
Cube 4 P;0.2572248;0.4743971;1.021781;0;270;0
World;0.1908247;-0.4876029;1.388381;0;0;0
Cube 1 G;-0.2319463;-0.1363074;1.448459;0;0;0
Cube 2 G;0.3720537;-0.07610741;1.370459;0;0;0
Cube 3 G;-0.06874633;0.08449256;1.204459;0;0;0
Cube 4 G;0.2464537;0.3696926;1.042859;0;0;0
Cube 1 P;-0.3509464;-0.0823074;1.448459;0;0;0
Cube 2 P;0.3807537;-0.0444074;1.240359;0;270;0
Cube 3 P;-0.06384632;0.1816926;1.212359;0;0;0
Cube 4 P;0.2544537;0.4776926;1.038859;0;270;0
World;0.1880537;-0.4843074;1.405459;0;0;0
Cube 1 G;-0.235156;-0.1348999;1.46962;0;0;0
Cube 2 G;0.368844;-0.07469985;1.39162;0;0;0
Cube 3 G;-0.07195599;0.08590013;1.22562;0;0;0
Cube 4 G;0.2432441;0.3711001;1.06402;0;0;0
Cube 1 P;-0.354156;-0.08089983;1.46962;0;0;0
Cube 2 P;0.377544;-0.04299983;1.26152;0;270;0
Cube 3 P;-0.06705599;0.1831002;1.23352;0;0;0
Cube 4 P;0.2512441;0.4791002;1.06002;0;270;0
World;0.184844;-0.4828998;1.42662;0;0;0
Cube 1 G;-0.2397863;-0.1352753;1.485851;0;0;0
Cube 2 G;0.3642137;-0.0750753;1.407851;0;0;0
Cube 3 G;-0.07658628;0.08552468;1.241851;0;0;0
Cube 4 G;0.2386138;0.3707247;1.080251;0;0;0
Cube 1 P;-0.3587863;-0.08127528;1.485851;0;0;0
Cube 2 P;0.3729137;-0.04337528;1.277751;0;270;0
Cube 3 P;-0.07168627;0.1827247;1.249751;0;0;0
Cube 4 P;0.2466138;0.4787247;1.076251;0;270;0
World;0.1802137;-0.4832753;1.442851;0;0;0
Cube 1 G;-0.2417311;-0.1356777;1.488911;0;0;0
Cube 2 G;0.3622689;-0.07547766;1.410911;0;0;0
Cube 3 G;-0.07853113;0.08512232;1.244911;0;0;0
Cube 4 G;0.2366689;0.3703223;1.083311;0;0;0
Cube 1 P;-0.3607312;-0.08167765;1.488911;0;0;0
Cube 2 P;0.3709689;-0.04377764;1.280811;0;270;0
Cube 3 P;-0.07363112;0.1823224;1.252811;0;0;0
Cube 4 P;0.2446689;0.4783224;1.079311;0;270;0
World;0.1782689;-0.4836777;1.445911;0;0;0
Cube 1 G;-0.2418922;-0.1363536;1.485967;0;0;0
Cube 2 G;0.3621078;-0.07615364;1.407967;0;0;0
Cube 3 G;-0.07869226;0.08444634;1.241967;0;0;0
Cube 4 G;0.2365078;0.3696463;1.080367;0;0;0
Cube 1 P;-0.3608923;-0.08235362;1.485967;0;0;0
Cube 2 P;0.3708077;-0.04445362;1.277867;0;270;0
Cube 3 P;-0.07379225;0.1816464;1.249867;0;0;0
Cube 4 P;0.2445078;0.4776464;1.076367;0;270;0
World;0.1781077;-0.4843536;1.442967;0;0;0
Cube 1 G;-0.2405982;-0.1367422;1.484135;0;0;0
Cube 2 G;0.3634018;-0.0765422;1.406135;0;0;0
Cube 3 G;-0.07739817;0.08405778;1.240135;0;0;0
Cube 4 G;0.2378019;0.3692578;1.078535;0;0;0
Cube 1 P;-0.3595982;-0.08274218;1.484135;0;0;0
Cube 2 P;0.3721018;-0.04484218;1.276035;0;270;0
